CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,ALL_PLUGINS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133672000,<blank>,<blank>,<blank>,<blank>,980,<blank>,<blank>,<blank>,<blank>,APPLICABLE_ROLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,131478528,<blank>,<blank>,<blank>,<blank>,384,<blank>,<blank>,<blank>,<blank>,CHARACTER_SETS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,CHECK_CONSTRAINTS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133639044,<blank>,<blank>,<blank>,<blank>,231,<blank>,<blank>,<blank>,<blank>,COLLATIONS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,130862160,<blank>,<blank>,<blank>,<blank>,195,<blank>,<blank>,<blank>,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,COLUMNS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134076085,<blank>,<blank>,<blank>,<blank>,2893,<blank>,<blank>,<blank>,<blank>,COLUMN_PRIVILEGES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132848096,<blank>,<blank>,<blank>,<blank>,388,<blank>,<blank>,<blank>,<blank>,ENABLED_ROLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133488252,<blank>,<blank>,<blank>,<blank>,732,<blank>,<blank>,<blank>,<blank>,ENGINES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,EVENTS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134081948,<blank>,<blank>,<blank>,<blank>,4004,<blank>,<blank>,<blank>,<blank>,FILES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134129040,<blank>,<blank>,<blank>,<blank>,6340,<blank>,<blank>,<blank>,<blank>,GLOBAL_STATUS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134129040,<blank>,<blank>,<blank>,<blank>,6340,<blank>,<blank>,<blank>,<blank>,GLOBAL_VARIABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,130862160,<blank>,<blank>,<blank>,<blank>,195,<blank>,<blank>,<blank>,<blank>,KEYWORDS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133409100,<blank>,<blank>,<blank>,<blank>,660,<blank>,<blank>,<blank>,<blank>,KEY_CACHES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134158788,<blank>,<blank>,<blank>,<blank>,4638,<blank>,<blank>,<blank>,<blank>,KEY_COLUMN_USAGE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,OPTIMIZER_TRACE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,PARAMETERS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,PARTITIONS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,PLUGINS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,PROCESSLIST,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132927165,<blank>,<blank>,<blank>,<blank>,309,<blank>,<blank>,<blank>,<blank>,PROFILING,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134189235,<blank>,<blank>,<blank>,<blank>,4815,<blank>,<blank>,<blank>,<blank>,REFERENTIAL_CONSTRAINTS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,ROUTINES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134114890,<blank>,<blank>,<blank>,<blank>,6539,<blank>,<blank>,<blank>,<blank>,SCHEMATA,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133949010,<blank>,<blank>,<blank>,<blank>,2507,<blank>,<blank>,<blank>,<blank>,SCHEMA_PRIVILEGES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134129040,<blank>,<blank>,<blank>,<blank>,6340,<blank>,<blank>,<blank>,<blank>,SESSION_STATUS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134129040,<blank>,<blank>,<blank>,<blank>,6340,<blank>,<blank>,<blank>,<blank>,SESSION_VARIABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134073954,<blank>,<blank>,<blank>,<blank>,5754,<blank>,<blank>,<blank>,<blank>,STATISTICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,130862160,<blank>,<blank>,<blank>,<blank>,195,<blank>,<blank>,<blank>,<blank>,SQL_FUNCTIONS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,SYSTEM_VARIABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134149652,<blank>,<blank>,<blank>,<blank>,14833,<blank>,<blank>,<blank>,<blank>,TABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134062368,<blank>,<blank>,<blank>,<blank>,6952,<blank>,<blank>,<blank>,<blank>,TABLESPACES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133788720,<blank>,<blank>,<blank>,<blank>,2504,<blank>,<blank>,<blank>,<blank>,TABLE_CONSTRAINTS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134017200,<blank>,<blank>,<blank>,<blank>,2700,<blank>,<blank>,<blank>,<blank>,TABLE_PRIVILEGES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,TRIGGERS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133869528,<blank>,<blank>,<blank>,<blank>,2314,<blank>,<blank>,<blank>,<blank>,USER_PRIVILEGES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,8192,def,0,<blank>,<blank>,8192,3221225472,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2021-10-28 06:58:59,VIEWS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132163312,<blank>,<blank>,<blank>,<blank>,386,<blank>,<blank>,<blank>,<blank>,CLIENT_STATISTICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134139537,<blank>,<blank>,<blank>,<blank>,1743,<blank>,<blank>,<blank>,<blank>,INDEX_STATISTICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134202239,<blank>,<blank>,<blank>,<blank>,12007,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_DATAFILES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134089180,<blank>,<blank>,<blank>,<blank>,4244,<blank>,<blank>,<blank>,<blank>,GEOMETRY_COLUMNS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,131072000,<blank>,<blank>,<blank>,<blank>,250,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_TABLESTATS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134123349,<blank>,<blank>,<blank>,<blank>,7691,<blank>,<blank>,<blank>,<blank>,SPATIAL_REF_SYS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134064756,<blank>,<blank>,<blank>,<blank>,3556,<blank>,<blank>,<blank>,<blank>,INNODB_BUFFER_PAGE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134153690,<blank>,<blank>,<blank>,<blank>,4430,<blank>,<blank>,<blank>,<blank>,INNODB_TRX,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132451200,<blank>,<blank>,<blank>,<blank>,600,<blank>,<blank>,<blank>,<blank>,INNODB_CMP_PER_INDEX,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134069460,<blank>,<blank>,<blank>,<blank>,1830,<blank>,<blank>,<blank>,<blank>,INNODB_METRICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132382720,<blank>,<blank>,<blank>,<blank>,505,<blank>,<blank>,<blank>,<blank>,INNODB_LOCK_WAITS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,104857600,<blank>,<blank>,<blank>,<blank>,25,<blank>,<blank>,<blank>,<blank>,INNODB_CMP,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,121634816,<blank>,<blank>,<blank>,<blank>,58,<blank>,<blank>,<blank>,<blank>,THREAD_POOL_WAITS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,104857600,<blank>,<blank>,<blank>,<blank>,25,<blank>,<blank>,<blank>,<blank>,INNODB_CMP_RESET,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,125829120,<blank>,<blank>,<blank>,<blank>,30,<blank>,<blank>,<blank>,<blank>,THREAD_POOL_QUEUES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133876979,<blank>,<blank>,<blank>,<blank>,1181,<blank>,<blank>,<blank>,<blank>,TABLE_STATISTICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132927062,<blank>,<blank>,<blank>,<blank>,206,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_FIELDS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134177859,<blank>,<blank>,<blank>,<blank>,3559,<blank>,<blank>,<blank>,<blank>,INNODB_BUFFER_PAGE_LRU,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134173026,<blank>,<blank>,<blank>,<blank>,30994,<blank>,<blank>,<blank>,<blank>,INNODB_LOCKS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133963400,<blank>,<blank>,<blank>,<blank>,1054,<blank>,<blank>,<blank>,<blank>,INNODB_FT_INDEX_TABLE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
