ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,ALL_PLUGINS,SYSTEM VIEW,0,max_rows=1812732 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133672000,<blank>,<blank>,Fixed,<blank>,APPLICABLE_ROLES,SYSTEM VIEW,980,max_rows=136956,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,131478528,<blank>,<blank>,Fixed,<blank>,CHARACTER_SETS,SYSTEM VIEW,384,max_rows=349525,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,CHECK_CONSTRAINTS,SYSTEM VIEW,0,max_rows=1499639 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133639044,<blank>,<blank>,Fixed,<blank>,COLLATIONS,SYSTEM VIEW,231,max_rows=581029,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,130862160,<blank>,<blank>,Fixed,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,SYSTEM VIEW,195,max_rows=688296,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,COLUMNS,SYSTEM VIEW,0,max_rows=533757 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134076085,<blank>,<blank>,Fixed,<blank>,COLUMN_PRIVILEGES,SYSTEM VIEW,2893,max_rows=46393,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132848096,<blank>,<blank>,Fixed,<blank>,ENABLED_ROLES,SYSTEM VIEW,388,max_rows=345921,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133488252,<blank>,<blank>,Fixed,<blank>,ENGINES,SYSTEM VIEW,732,max_rows=183357,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,EVENTS,SYSTEM VIEW,0,max_rows=117460 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134081948,<blank>,<blank>,Fixed,<blank>,FILES,SYSTEM VIEW,4004,max_rows=33520,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134129040,<blank>,<blank>,Fixed,<blank>,GLOBAL_STATUS,SYSTEM VIEW,6340,max_rows=21169,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134129040,<blank>,<blank>,Fixed,<blank>,GLOBAL_VARIABLES,SYSTEM VIEW,6340,max_rows=21169,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,130862160,<blank>,<blank>,Fixed,<blank>,KEYWORDS,SYSTEM VIEW,195,max_rows=688296,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133409100,<blank>,<blank>,Fixed,<blank>,KEY_CACHES,SYSTEM VIEW,660,max_rows=203360,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134158788,<blank>,<blank>,Fixed,<blank>,KEY_COLUMN_USAGE,SYSTEM VIEW,4638,max_rows=28938,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,OPTIMIZER_TRACE,SYSTEM VIEW,0,max_rows=111076740 transactional=0,8192,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,PARAMETERS,SYSTEM VIEW,0,max_rows=1157881 transactional=0,8192,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,PARTITIONS,SYSTEM VIEW,0,max_rows=1074458 transactional=0,8192,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,PLUGINS,SYSTEM VIEW,0,max_rows=1812732 transactional=0,8192,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,PROCESSLIST,SYSTEM VIEW,0,max_rows=2923072 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132927165,<blank>,<blank>,Fixed,<blank>,PROFILING,SYSTEM VIEW,309,max_rows=434361,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134189235,<blank>,<blank>,Fixed,<blank>,REFERENTIAL_CONSTRAINTS,SYSTEM VIEW,4815,max_rows=27874,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,ROUTINES,SYSTEM VIEW,0,max_rows=110695 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134114890,<blank>,<blank>,Fixed,<blank>,SCHEMATA,SYSTEM VIEW,6539,max_rows=20525,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133949010,<blank>,<blank>,Fixed,<blank>,SCHEMA_PRIVILEGES,SYSTEM VIEW,2507,max_rows=53537,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134129040,<blank>,<blank>,Fixed,<blank>,SESSION_STATUS,SYSTEM VIEW,6340,max_rows=21169,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134129040,<blank>,<blank>,Fixed,<blank>,SESSION_VARIABLES,SYSTEM VIEW,6340,max_rows=21169,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134073954,<blank>,<blank>,Fixed,<blank>,STATISTICS,SYSTEM VIEW,5754,max_rows=23325,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,130862160,<blank>,<blank>,Fixed,<blank>,SQL_FUNCTIONS,SYSTEM VIEW,195,max_rows=688296,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,SYSTEM_VARIABLES,SYSTEM VIEW,0,max_rows=100944 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134149652,<blank>,<blank>,Fixed,<blank>,TABLES,SYSTEM VIEW,14833,max_rows=9048,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134062368,<blank>,<blank>,Fixed,<blank>,TABLESPACES,SYSTEM VIEW,6952,max_rows=19306,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133788720,<blank>,<blank>,Fixed,<blank>,TABLE_CONSTRAINTS,SYSTEM VIEW,2504,max_rows=53601,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134017200,<blank>,<blank>,Fixed,<blank>,TABLE_PRIVILEGES,SYSTEM VIEW,2700,max_rows=49710,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,TRIGGERS,SYSTEM VIEW,0,max_rows=108105 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133869528,<blank>,<blank>,Fixed,<blank>,USER_PRIVILEGES,SYSTEM VIEW,2314,max_rows=58002,0,def,information_schema,utf8_general_ci
137438945280,2021-10-28 06:56:20,8192,<blank>,0,<blank>,2021-10-28 06:56:20,Y,<blank>,Aria,3221225472,<blank>,<blank>,Page,11,VIEWS,SYSTEM VIEW,0,max_rows=1155803 transactional=0,8192,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132163312,<blank>,<blank>,Fixed,<blank>,CLIENT_STATISTICS,SYSTEM VIEW,386,max_rows=347714,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134139537,<blank>,<blank>,Fixed,<blank>,INDEX_STATISTICS,SYSTEM VIEW,1743,max_rows=77003,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134202239,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_DATAFILES,SYSTEM VIEW,12007,max_rows=11178,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134089180,<blank>,<blank>,Fixed,<blank>,GEOMETRY_COLUMNS,SYSTEM VIEW,4244,max_rows=31625,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,131072000,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_TABLESTATS,SYSTEM VIEW,250,max_rows=536870,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134123349,<blank>,<blank>,Fixed,<blank>,SPATIAL_REF_SYS,SYSTEM VIEW,7691,max_rows=17451,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134064756,<blank>,<blank>,Fixed,<blank>,INNODB_BUFFER_PAGE,SYSTEM VIEW,3556,max_rows=37744,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134153690,<blank>,<blank>,Fixed,<blank>,INNODB_TRX,SYSTEM VIEW,4430,max_rows=30297,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132451200,<blank>,<blank>,Fixed,<blank>,INNODB_CMP_PER_INDEX,SYSTEM VIEW,600,max_rows=223696,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,134069460,<blank>,<blank>,Fixed,<blank>,INNODB_METRICS,SYSTEM VIEW,1830,max_rows=73343,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132382720,<blank>,<blank>,Fixed,<blank>,INNODB_LOCK_WAITS,SYSTEM VIEW,505,max_rows=265777,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,104857600,<blank>,<blank>,Fixed,<blank>,INNODB_CMP,SYSTEM VIEW,25,max_rows=5368709,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,121634816,<blank>,<blank>,Fixed,<blank>,THREAD_POOL_WAITS,SYSTEM VIEW,58,max_rows=2314098,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,104857600,<blank>,<blank>,Fixed,<blank>,INNODB_CMP_RESET,SYSTEM VIEW,25,max_rows=5368709,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,125829120,<blank>,<blank>,Fixed,<blank>,THREAD_POOL_QUEUES,SYSTEM VIEW,30,max_rows=4473924,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133876979,<blank>,<blank>,Fixed,<blank>,TABLE_STATISTICS,SYSTEM VIEW,1181,max_rows=113647,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132927062,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_FIELDS,SYSTEM VIEW,206,max_rows=651542,0,def,information_schema,utf8_general_ci
